field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
ifn_suppcm_cmadj,interferon_administration,,radio,"Reason for dose modification / premature discontinuation of Interferon","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|OTHER, Other",,,,,,"[ifn_cmoccur] != 'N' AND [ifn_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED'",y,,,,,
ifn_esc_suppcm_cmadj,interferon_administration,,radio,"Reason for dose modification / premature discontinuation of Interferon","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|PLANNED_DOSE_ESCALATION, Planned regimen dose escalation|OTHER, Other",,,,,,"[ifn_cmoccur] != 'N' AND [ifn_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED'",y,,,,,
ifn_oth_suppcm_cmadj,interferon_administration,,text,"Reason for dose modification / premature discontinuation of Interferon other",,,,,,,"[ifn_suppcm_cmadj] = 'OTHER' OR [ifn_esc_suppcm_cmadj] = 'OTHER'",y,,,,,
ifn_suppcm_cmncmpae,interferon_administration,,radio,"Adverse Event (IFN stop)","NAUSEA, Nausea|VOMITING, Vomiting|DIARRHEA, Diarrhea|HEADACHE, Headache|FATIGUE, Fatigue|INSOMNIA, Insomnia|FLU_LIKE_SYMPTOMS, Flu-Like Symptoms|DYSPNEA, Dyspnea|RASH, Rash|PRURITUS, Pruritus|PHOTOSENSITIVITY, Photosensitivity|ANAEMIA, Anemia|THROMBOCYTOPAENIA, Thrombocytopenia|NEUTROPENIA, Neutropenia|HYPERBILIRUBINAEMIA, Hyperbilirubinemia|ASCITES, Ascites|HEPATIC_ENCEPHALOPATHY, Hepatic Encephalopathy|ESOPHAGEAL_VARICES_WITH_BLEEDING, Esophageal Variceal Bleed|PORPHYRIA, Porphyria|OTHER, Other",,,,,,"[ifn_suppcm_cmadj] = 'ADVERSE_EVENT' OR [ifn_esc_suppcm_cmadj] = 'ADVERSE_EVENT' OR [ifn_suppcm_cmadj] = 'DEATH' OR [ifn_esc_suppcm_cmadj] = 'DEATH'",y,,,,,
ifn_oth_suppcm_cmncmpae,interferon_administration,,text,"Other Adverse Event (IFN stop) (specify)",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[ifn_suppcm_cmncmpae] = 'OTHER'",y,,,,,
ifn_suppae_ifnacn,interferon_administration,,radio,"What action was taken with Interferon as a result of this Adverse Event?","DOSE_INCREASED, Dose increased|DOSE_REDUCED, Dose reduced|DRUG_INTERRUPTED, Drug interrupted|DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[ifn_suppcm_cmadj] = 'ADVERSE_EVENT' OR [ifn_esc_suppcm_cmadj] = 'ADVERSE_EVENT'",y,,,,,
ifn_cmendtc,interferon_administration,,text,"Interferon stop date",,"YYYY-MM-DD ",date_ymd,,,,"[ifn_cmoccur] != 'N' AND ([ifn_suppcm_cmtrtout] = 'COMPLETE' OR [ifn_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [ifn_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
ifn_cmoccur,interferon_administration,,radio,"Was Interferon started? ","N, NO|Y, YES",,,,,,"[ifn_cmstdtc] = ''",y,,,,,
ifn_suppcm_cmreasnost,interferon_administration,,radio,"Please indicate why Interferon treatment has not started","NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen|NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[ifn_cmoccur] = 'N' ",y,,,,,
rib_cmtrt,ribavirin_administration,,descriptive,Ribavirin,,,,,,,"0 = 1",,,,,,
rib_cmstdtc,ribavirin_administration,,text,"Ribavirin start date",,YYYY-MM-DD,date_ymd,,,,"[rib_cmoccur] != 'N'",y,,,,,
rib_cmdose,ribavirin_administration,,text,"Ribavirin initial dose",,"Dose per administration",number,200,1200,,"[rib_cmoccur] != 'N'",y,,,,,
rib_cmdosu,ribavirin_administration,,text,"Ribavirin dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[rib_cmoccur] != 'N'",y,,,,,
rib_cmdosfrq,ribavirin_administration,,radio,"Ribavirin dose frequency","QD, Daily|OTHER, Other","Dosing frequency per Interval",,,,,"[rib_cmoccur] != 'N'",y,,,,,
rib_suppcm_dosetype,ribavirin_administration,,radio,"Divided or single dose?","DIVIDED, Divided dose|SINGLE, Single dose",,,,,,"[rib_cmoccur] != 'N'",y,,,,,
rib_oth_cmdosfrq,ribavirin_administration,,text,"Ribavirin dose frequency other",,,,,,,"[rib_cmdosfrq] = 'OTHER'",y,,,,,
rib_cmdosfrm,ribavirin_administration,,radio,"Ribavirin dose form","TABLET, Tablet|OTHER, Other",,,,,,"[rib_cmoccur] != 'N'",y,,,,,
rib_suppcm_cmtrtout,ribavirin_administration,,radio,"Ribavirin dosing status","ONGOING, Ongoing|COMPLETE, Treatment completed|DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted|PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[rib_cmoccur] != 'N'",y,,,,,
rib_suppcm_cmadj,ribavirin_administration,,radio,"Reason for dose modification / premature discontinuation of Ribavirin","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|OTHER, Other",,,,,,"[rib_cmoccur] != 'N' AND [rib_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED'",y,,,,,
rib_esc_suppcm_cmadj,ribavirin_administration,,radio,"Reason for dose modification / premature discontinuation of Ribavirin","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|PLANNED_DOSE_ESCALATION, Planned regimen dose escalation|OTHER, Other",,,,,,"[rib_cmoccur] != 'N' AND [rib_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED'",y,,,,,
rib_oth_suppcm_cmadj,ribavirin_administration,,text,"Reason for dose modification / premature discontinuation of Ribavirin other",,,,,,,"[rib_suppcm_cmadj] = 'OTHER' OR [rib_esc_suppcm_cmadj] = 'OTHER'",y,,,,,
rib_suppcm_cmncmpae,ribavirin_administration,,radio,"Adverse Event (RBV stop)","NAUSEA, Nausea|VOMITING, Vomiting|DIARRHEA, Diarrhea|HEADACHE, Headache|FATIGUE, Fatigue|INSOMNIA, Insomnia|FLU_LIKE_SYMPTOMS, Flu-Like Symptoms|DYSPNEA, Dyspnea|RASH, Rash|PRURITUS, Pruritus|PHOTOSENSITIVITY, Photosensitivity|ANAEMIA, Anemia|THROMBOCYTOPAENIA, Thrombocytopenia|NEUTROPENIA, Neutropenia|HYPERBILIRUBINAEMIA, Hyperbilirubinemia|ASCITES, Ascites|HEPATIC_ENCEPHALOPATHY, Hepatic Encephalopathy|ESOPHAGEAL_VARICES_WITH_BLEEDING, Esophageal Variceal Bleed|PORPHYRIA, Porphyria|OTHER, Other",,,,,,"[rib_suppcm_cmadj] = 'ADVERSE_EVENT' OR [rib_esc_suppcm_cmadj] = 'ADVERSE_EVENT' OR [rib_suppcm_cmadj] = 'DEATH' OR [rib_esc_suppcm_cmadj] = 'DEATH'",y,,,,,
rib_oth_suppcm_cmncmpae,ribavirin_administration,,text,"Adverse Event (RBV stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[rib_suppcm_cmncmpae] = 'OTHER'",y,,,,,
rib_suppae_ribacn,ribavirin_administration,,radio,"What action was taken with Ribavirin as a result of this Adverse Event?","DOSE_INCREASED, Dose increased|DOSE_REDUCED, Dose reduced|DRUG_INTERRUPTED, Drug interrupted|DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[rib_suppcm_cmadj] = 'ADVERSE_EVENT' OR [rib_esc_suppcm_cmadj] = 'ADVERSE_EVENT'",y,,,,,
rib_cmendtc,ribavirin_administration,,text,"Ribavirin stop date",,"YYYY-MM-DD ",date_ymd,,,,"[rib_cmoccur] != 'N' AND ([rib_suppcm_cmtrtout] = 'COMPLETE' OR [rib_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [rib_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
rib_cmoccur,ribavirin_administration,,radio,"Was Ribavirin started? ","N, NO|Y, YES",,,,,,"[rib_cmstdtc] = ''",y,,,,,
rib_suppcm_cmreasnost,ribavirin_administration,,radio,"Please indicate why Ribavirin treatment has not started","NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen|NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[rib_cmoccur] = 'N'",y,,,,,
boc_cmtrt,boceprevir_administration,"Trade name: Victrelis",descriptive,Boceprevir,,,,,,,"0 = 1",,,,,,
boc_cmstdtc,boceprevir_administration,,text,"Boceprevir start date",,YYYY-MM-DD,date_ymd,,,,"[boc_cmoccur] != 'N'",y,,,,,
boc_cmdose,boceprevir_administration,,text,"Boceprevir dose",,"Dose per administration",integer,,,,"[boc_cmoccur] != 'N'",y,,,,,
boc_cmdosu,boceprevir_administration,,text,"Boceprevir dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[boc_cmoccur] != 'N'",y,,,,,
boc_cmdosfrq,boceprevir_administration,,radio,"Boceprevir dose frequency","QD, 1x / day|BID, 2x / day|TID, 3x / day|OTHER, Other","Dosing frequency per interval",,,,,"[boc_cmoccur] != 'N'",y,,,,,
boc_oth_cmdosfrq,boceprevir_administration,,text,"Boceprevir dose frequency other",,,,,,,"[boc_cmdosfrq] = 'OTHER'",y,,,,,
boc_cmdosfrm,boceprevir_administration,,radio,"Boceprevir dose form","TABLET, Tablet|OTHER, Other",,,,,,"[boc_cmoccur] != 'N'",y,,,,,
boc_suppcm_cmtrtout,boceprevir_administration,,radio,"Boceprevir dosing status","ONGOING, Ongoing|COMPLETE, Treatment completed|DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted|PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[boc_cmoccur] != 'N'",y,,,,,
boc_suppcm_cmadj,boceprevir_administration,,radio,"Reason for dose modification / premature discontinuation of Boceprevir","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|OTHER, Other",,,,,,"[boc_cmoccur] != 'N' AND ([boc_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [boc_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
boc_oth_suppcm_cmadj,boceprevir_administration,,text,"Reason for dose modification / premature discontinuation of Boceprevir other",,,,,,,"[boc_suppcm_cmadj] = 'OTHER'",y,,,,,
boc_suppcm_cmncmpae,boceprevir_administration,,radio,"Adverse Event (Boceprevir stop)","NAUSEA, Nausea|VOMITING, Vomiting|DIARRHEA, Diarrhea|HEADACHE, Headache|FATIGUE, Fatigue|INSOMNIA, Insomnia|FLU_LIKE_SYMPTOMS, Flu-Like Symptoms|DYSPNEA, Dyspnea|RASH, Rash|PRURITUS, Pruritus|PHOTOSENSITIVITY, Photosensitivity|ANAEMIA, Anemia|THROMBOCYTOPAENIA, Thrombocytopenia|NEUTROPENIA, Neutropenia|HYPERBILIRUBINAEMIA, Hyperbilirubinemia|ASCITES, Ascites|HEPATIC_ENCEPHALOPATHY, Hepatic Encephalopathy|ESOPHAGEAL_VARICES_WITH_BLEEDING, Esophageal Variceal Bleed|PORPHYRIA, Porphyria|OTHER, Other",,,,,,"[boc_suppcm_cmadj] = 'ADVERSE_EVENT' OR [boc_suppcm_cmadj] = 'DEATH'",y,,,,,
boc_oth_suppcm_cmncmpae,boceprevir_administration,,text,"Adverse Event (Boceprevir stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[boc_suppcm_cmncmpae] = 'OTHER'",y,,,,,
boc_suppae_daaacn,boceprevir_administration,,radio,"What action was taken with Boceprevir as a result of this Adverse Event?","DOSE_INCREASED, Dose increased|DOSE_REDUCED, Dose reduced|DRUG_INTERRUPTED, Drug interrupted|DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[boc_suppcm_cmadj] = 'ADVERSE_EVENT'",y,,,,,
boc_cmendtc,boceprevir_administration,,text,"Boceprevir stop date",,"YYYY-MM-DD ",date_ymd,,,,"[boc_cmoccur] != 'N' AND ([boc_suppcm_cmtrtout] = 'COMPLETE' OR [boc_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [boc_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
boc_cmoccur,boceprevir_administration,,radio,"Was Boceprevir started? ","N, NO|Y, YES",,,,,,"[boc_cmstdtc] =''",y,,,,,
boc_suppcm_cmreasnost,boceprevir_administration,,radio,"Please indicate why Boceprevir dosing has not started","LEAD_IN_AWAITING_START, Currently on lead-in and awaiting Boceprevir start|PEG_RBV_DISCONTINUED, Peg/RBV discontinued prior to Boceprevir start|NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen|NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[boc_cmoccur] = 'N'",y,,,,,
tvr_cmtrt,telaprevir_administration,"Trade names: Incivek & INCIVO",descriptive,Telaprevir,,,,,,,"0 = 1",,,,,,
tvr_cmstdtc,telaprevir_administration,,text,"Telaprevir start date",,YYYY-MM-DD,date_ymd,,,,"[tvr_cmoccur] != 'N'",y,,,,,
tvr_cmdose,telaprevir_administration,,text,"Telaprevir dose",,"Dose per administration",integer,,,,"[tvr_cmoccur] != 'N'",y,,,,,
tvr_cmdosu,telaprevir_administration,,text,"Telaprevir dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[tvr_cmoccur] != 'N'",y,,,,,
tvr_cmdosfrq,telaprevir_administration,,radio,"Telaprevir dose frequency","QD, 1x / day|BID, 2x / day|TID, 3x / day|OTHER, Other","Dosing frequency per interval",,,,,"[tvr_cmoccur] != 'N'",y,,,,,
tvr_oth_cmdosfrq,telaprevir_administration,,text,"Telaprevir dose frequency other",,,,,,,"[tvr_cmdosfrq] = 'OTHER'",y,,,,,
tvr_cmdosfrm,telaprevir_administration,,radio,"Telaprevir dose form","TABLET, Tablet|OTHER, Other",,,,,,"[tvr_cmoccur] != 'N'",y,,,,,
tvr_suppcm_cmtrtout,telaprevir_administration,,radio,"Telaprevir dosing status","ONGOING, Ongoing|COMPLETE, Treatment completed|DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted|PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[tvr_cmoccur] != 'N'",y,,,,,
tvr_suppcm_cmadj,telaprevir_administration,,radio,"Reason for dose modification / premature discontinuation of Telaprevir","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|OTHER, Other",,,,,,"[tvr_cmoccur] != 'N' AND ([tvr_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [tvr_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
tvr_oth_suppcm_cmadj,telaprevir_administration,,text,"Reason for dose modification / premature discontinuation of Telaprevir other",,,,,,,"[tvr_suppcm_cmadj] = 'OTHER'",y,,,,,
tvr_suppcm_cmncmpae,telaprevir_administration,,radio,"Adverse Event (Telaprevir stop)","NAUSEA, Nausea|VOMITING, Vomiting|DIARRHEA, Diarrhea|HEADACHE, Headache|FATIGUE, Fatigue|INSOMNIA, Insomnia|FLU_LIKE_SYMPTOMS, Flu-Like Symptoms|DYSPNEA, Dyspnea|RASH, Rash|PRURITUS, Pruritus|PHOTOSENSITIVITY, Photosensitivity|ANAEMIA, Anemia|THROMBOCYTOPAENIA, Thrombocytopenia|NEUTROPENIA, Neutropenia|HYPERBILIRUBINAEMIA, Hyperbilirubinemia|ASCITES, Ascites|HEPATIC_ENCEPHALOPATHY, Hepatic Encephalopathy|ESOPHAGEAL_VARICES_WITH_BLEEDING, Esophageal Variceal Bleed|PORPHYRIA, Porphyria|OTHER, Other",,,,,,"[tvr_suppcm_cmadj] = 'ADVERSE_EVENT' OR [tvr_suppcm_cmadj] = 'DEATH'",y,,,,,
tvr_oth_suppcm_cmncmpae,telaprevir_administration,,text,"Adverse Event (Telaprevir stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[tvr_suppcm_cmncmpae] = 'OTHER'",y,,,,,
tvr_suppae_daaacn,telaprevir_administration,,radio,"What action was taken with Telaprevir as a result of this Adverse Event?","DOSE_INCREASED, Dose increased|DOSE_REDUCED, Dose reduced|DRUG_INTERRUPTED, Drug interrupted|DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[tvr_suppcm_cmadj] = 'ADVERSE_EVENT'",y,,,,,
tvr_cmendtc,telaprevir_administration,,text,"Telaprevir stop date",,"YYYY-MM-DD ",date_ymd,,,,"[tvr_cmoccur] != 'N' AND ([tvr_suppcm_cmtrtout] = 'COMPLETE' OR [tvr_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [tvr_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
tvr_cmoccur,telaprevir_administration,,radio,"Was Telaprevir started? ","N, NO|Y, YES",,,,,,"[tvr_cmstdtc] =''",y,,,,,
tvr_suppcm_cmreasnost,telaprevir_administration,,radio,"Please indicate why Telaprevir dosing has not started","LEAD_IN_AWAITING_START, Currently on lead-in and awaiting Telaprevir start|PEG_RBV_DISCONTINUED, Peg/RBV discontinued prior to Telaprevir start|NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen|NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[tvr_cmoccur] = 'N'",y,,,,,
sim_cmtrt,simeprevir_administration,"Trade names: Olysio & Galexos",descriptive,Simeprevir,,,,,,,"0 = 1",,,,,,
sim_cmstdtc,simeprevir_administration,,text,"Simeprevir start date",,YYYY-MM-DD,date_ymd,,,,"[sim_cmoccur] != 'N'",y,,,,,
sim_cmdose,simeprevir_administration,,text,"Simeprevir dose",,"Dose per administration",integer,,,,"[sim_cmoccur] != 'N'",y,,,,,
sim_cmdosu,simeprevir_administration,,text,"Simeprevir dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[sim_cmoccur] != 'N'",y,,,,,
sim_cmdosfrq,simeprevir_administration,,radio,"Simeprevir dose frequency","QD, 1x / day|OTHER, Other","Dosing frequency per interval",,,,,"[sim_cmoccur] != 'N'",y,,,,,
sim_oth_cmdosfrq,simeprevir_administration,,text,"Simeprevir dose frequency other",,,,,,,"[sim_cmdosfrq] = 'OTHER'",y,,,,,
sim_cmdosfrm,simeprevir_administration,,radio,"Simeprevir dose form","TABLET, Tablet|OTHER, Other",,,,,,"[sim_cmoccur] != 'N'",y,,,,,
sim_suppcm_cmtrtout,simeprevir_administration,,radio,"Simeprevir dosing status","ONGOING, Ongoing|COMPLETE, Treatment completed|DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted|PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[sim_cmoccur] != 'N'",y,,,,,
sim_suppcm_cmadj,simeprevir_administration,,radio,"Reason for dose modification / premature discontinuation of Simeprevir","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|OTHER, Other",,,,,,"[sim_cmoccur] != 'N' AND ([sim_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [sim_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
sim_oth_suppcm_cmadj,simeprevir_administration,,text,"Reason for dose modification / premature discontinuation of Simeprevir other",,,,,,,"[sim_suppcm_cmadj] = 'OTHER'",y,,,,,
sim_suppcm_cmncmpae,simeprevir_administration,,radio,"Adverse Event (Simeprevir stop)","NAUSEA, Nausea|VOMITING, Vomiting|DIARRHEA, Diarrhea|HEADACHE, Headache|FATIGUE, Fatigue|INSOMNIA, Insomnia|FLU_LIKE_SYMPTOMS, Flu-Like Symptoms|DYSPNEA, Dyspnea|RASH, Rash|PRURITUS, Pruritus|PHOTOSENSITIVITY, Photosensitivity|ANAEMIA, Anemia|THROMBOCYTOPAENIA, Thrombocytopenia|NEUTROPENIA, Neutropenia|HYPERBILIRUBINAEMIA, Hyperbilirubinemia|ASCITES, Ascites|HEPATIC_ENCEPHALOPATHY, Hepatic Encephalopathy|ESOPHAGEAL_VARICES_WITH_BLEEDING, Esophageal Variceal Bleed|PORPHYRIA, Porphyria|OTHER, Other",,,,,,"[sim_suppcm_cmadj] = 'ADVERSE_EVENT' OR [sim_suppcm_cmadj] = 'DEATH'",y,,,,,
sim_oth_suppcm_cmncmpae,simeprevir_administration,,text,"Adverse Event (Simeprevir stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[sim_suppcm_cmncmpae] = 'OTHER'",y,,,,,
sim_suppae_daaacn,simeprevir_administration,,radio,"What action was taken with Simeprevir as a result of this Adverse Event?","DOSE_INCREASED, Dose increased|DOSE_REDUCED, Dose reduced|DRUG_INTERRUPTED, Drug interrupted|DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[sim_suppcm_cmadj] = 'ADVERSE_EVENT'",y,,,,,
sim_cmendtc,simeprevir_administration,,text,"Simeprevir stop date",,"YYYY-MM-DD ",date_ymd,,,,"[sim_cmoccur] != 'N' AND ([sim_suppcm_cmtrtout] = 'COMPLETE' OR [sim_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [sim_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
sim_cmoccur,simeprevir_administration,,radio,"Was Simeprevir started? ","N, NO|Y, YES",,,,,,"[sim_cmstdtc] =''",y,,,,,
sim_suppcm_cmreasnost,simeprevir_administration,,radio,"Please indicate why Simeprevir dosing has not started","LEAD_IN_AWAITING_START, Currently on lead-in and awaiting Simeprevir start|PEG_RBV_DISCONTINUED, Peg/RBV discontinued prior to Simeprevir start|NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen|NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[sim_cmoccur] = 'N'",y,,,,,
sof_cmtrt,sofosbuvir_administration,"Trade names: Sovaldi & Virunon",descriptive,Sofosbuvir,,,,,,,"0 = 1",,,,,,
sof_cmstdtc,sofosbuvir_administration,,text,"Sofosbuvir start date",,YYYY-MM-DD,date_ymd,,,,"[sof_cmoccur] != 'N'",y,,,,,
sof_cmdose,sofosbuvir_administration,,text,"Sofosbuvir dose",,"Dose per administration",integer,,,,"[sof_cmoccur] != 'N'",y,,,,,
sof_cmdosu,sofosbuvir_administration,,text,"Sofosbuvir dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[sof_cmoccur] != 'N'",y,,,,,
sof_cmdosfrq,sofosbuvir_administration,,radio,"Sofosbuvir dose frequency","QD, 1x / day|OTHER, Other","Dosing frequency per interval",,,,,"[sof_cmoccur] != 'N'",y,,,,,
sof_oth_cmdosfrq,sofosbuvir_administration,,text,"Sofosbuvir dose frequency other",,,,,,,"[sof_cmdosfrq] = 'OTHER'",y,,,,,
sof_cmdosfrm,sofosbuvir_administration,,radio,"Sofosbuvir dose form","TABLET, Tablet|OTHER, Other",,,,,,"[sof_cmoccur] != 'N'",y,,,,,
sof_suppcm_cmtrtout,sofosbuvir_administration,,radio,"Sofosbuvir dosing status","ONGOING, Ongoing|COMPLETE, Treatment completed|DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted|PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[sof_cmoccur] != 'N'",y,,,,,
sof_suppcm_cmadj,sofosbuvir_administration,,radio,"Reason for dose modification / premature discontinuation of Sofosbuvir","ADVERSE_EVENT, Adverse Event|LACK_OF_EFFICACY, Lack of efficacy|WITHDRAWAL_BY_SUBJECT, Subject withdrew consent|LOST_TO_FOLLOWUP, Lost to follow-up|NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug|DEATH, Death|OTHER, Other",,,,,,"[sof_cmoccur] != 'N' AND ([sof_suppcm_cmtrtout] = 'PREMATURELY_DISCONTINUED' OR [sof_suppcm_cmtrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
sof_oth_suppcm_cmadj,sofosbuvir_administration,,text,"Reason for dose modification / premature discontinuation of Sofosbuvir other",,,,,,,"[sof_suppcm_cmadj] = 'OTHER'",y,,,,,
sof_suppcm_cmncmpae,sofosbuvir_administration,,radio,"Adverse Event (Sofosbuvir stop)","NAUSEA, Nausea|VOMITING, Vomiting|DIARRHEA, Diarrhea|HEADACHE, Headache|FATIGUE, Fatigue|INSOMNIA, Insomnia|FLU_LIKE_SYMPTOMS, Flu-Like Symptoms|DYSPNEA, Dyspnea|RASH, Rash|PRURITUS, Pruritus|PHOTOSENSITIVITY, Photosensitivity|ANAEMIA, Anemia|THROMBOCYTOPAENIA, Thrombocytopenia|NEUTROPENIA, Neutropenia|HYPERBILIRUBINAEMIA, Hyperbilirubinemia|ASCITES, Ascites|HEPATIC_ENCEPHALOPATHY, Hepatic Encephalopathy|ESOPHAGEAL_VARICES_WITH_BLEEDING, Esophageal Variceal Bleed|PORPHYRIA, Porphyria|OTHER, Other",,,,,,"[sof_suppcm_cmadj] = 'ADVERSE_EVENT' OR [sof_suppcm_cmadj] = 'DEATH'",y,,,,,
sof_oth_suppcm_cmncmpae,sofosbuvir_administration,,text,"Adverse Event (Sofosbuvir stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[sof_suppcm_cmncmpae] = 'OTHER'",y,,,,,
sof_suppae_daaacn,sofosbuvir_administration,,radio,"What action was taken with Sofosbuvir as a result of this Adverse Event?","DOSE_INCREASED, Dose increased|DOSE_REDUCED, Dose reduced|DRUG_INTERRUPTED, Drug interrupted|DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[sof_suppcm_cmadj] = 'ADVERSE_EVENT'",y,,,,,
